anr;datum;titel_kurz;ja_proz;li_re;kons_prog
142;18.05.1947;Initiative «Wirtschaftsreform und Rechte der Arbeit»;#ZAHL!;#ZAHL!;Nan
143;06.07.1947;Revision der Wirtschaftsartikel;#ZAHL!;#ZAHL!;Nan
144;06.07.1947;Gesetz über die AHV;#ZAHL!;#ZAHL!;Nan
145;14.03.1948;Ordnung der Zuckerwirtschaft;#ZAHL!;#ZAHL!;Nan
146;22.05.1949;Nationalbank-Artikel;#ZAHL!;#ZAHL!;Nan
147;22.05.1949;Gesetz zur Bekämpfung der Tuberkulose;#ZAHL!;#ZAHL!;Nan
148;11.09.1949;Initiative «für die Rückkehr zur direkten Demokratie»;#ZAHL!;#ZAHL!;Nan
149;11.12.1949;Gesetz über das Dienstverhältnis der Bundesbeamten;#ZAHL!;#ZAHL!;Nan
150;29.01.1950;Massnahmen zur Förderung der Wohnbautätigkeit;#ZAHL!;#ZAHL!;Nan
151;04.06.1950;Neuordnung des Finanzhaushalts;#ZAHL!;#ZAHL!;Nan
152;01.10.1950;Initiative zur «Verhinderung der Spekulation»;#ZAHL!;#ZAHL!;Nan
153;03.12.1950;Beschluss über die Mitgliederzahl des Nationalrates;#ZAHL!;#ZAHL!;Nan
154;03.12.1950;Finanzordnung 1951 bis 1954;#ZAHL!;#ZAHL!;Nan
155;25.02.1951;Autotransportordnung;#ZAHL!;#ZAHL!;Nan
156.1;15.04.1951;Freigeld-Initiative;#ZAHL!;#ZAHL!;Nan
156.2;15.04.1951;Gegenentwurf zur «Freigeldinitiative»;#ZAHL!;#ZAHL!;Nan
157;08.07.1951;Initiative für einen Beitrag der öffentlichen Unternehmungen an die Kosten der Landesverteidigung;#ZAHL!;#ZAHL!;Nan
158;02.03.1952;Verlängerung der Bewilligungspflicht für Gasthöfe;#ZAHL!;#ZAHL!;Nan
159;30.03.1952;Landwirtschaftsgesetz;#ZAHL!;#ZAHL!;Nan
160;20.04.1952;Warenumsatzsteuer-Initiative;#ZAHL!;#ZAHL!;Nan
161;18.05.1952;Initiative «zur Rüstungsfinanzierung und zum Schutze der sozialen Errungenschaften»;#ZAHL!;#ZAHL!;Nan
162;06.07.1952;Bundesbeschluss über die Deckung der Rüstungsausgaben;#ZAHL!;#ZAHL!;Nan
163;05.10.1952;Tabakzölle und Tabakkontingentierung;#ZAHL!;#ZAHL!;Nan
164;05.10.1952;Bundesbeschluss über den Einbau von Luftschutzräumen;#ZAHL!;#ZAHL!;Nan
165;23.11.1952;Befristete Weiterführung der Preiskontrolle;#ZAHL!;#ZAHL!;Nan
166;23.11.1952;Beschluss zur Brotgetreideversorgung des Landes;#ZAHL!;#ZAHL!;Nan
167;19.04.1953;Postverkehrsgesetz;#ZAHL!;#ZAHL!;Nan
168;06.12.1953;Neuordnung des Finanzhaushalts;#ZAHL!;#ZAHL!;Nan
169;06.12.1953;Verfassungsartikel über den Schutz der Gewässer ;#ZAHL!;#ZAHL!;Nan
170;20.06.1954;Bundesbeschluss über Fähigkeitsausweise;#ZAHL!;#ZAHL!;Nan
171;20.06.1954;Hilfe an kriegsgeschädigte Auslandschweizer;#ZAHL!;#ZAHL!;Nan
172;24.10.1954;Finanzordnung 1955 bis 1958;#ZAHL!;#ZAHL!;Nan
173;05.12.1954;Initiative zum Schutz der Stromlandschaft Rheinau;#ZAHL!;#ZAHL!;Nan
174.1;13.03.1955;Mieter- und Konsumentenschutzinitiative;#ZAHL!;#ZAHL!;Nan
174.2;13.03.1955;Gegenentwurf zur Mieter- und Konsumentenschutzinitiative;#ZAHL!;#ZAHL!;Nan
175;04.03.1956;Befristete Weiterführung einer beschränkten Preiskontrolle;#ZAHL!;#ZAHL!;Nan
176;13.05.1956;Initiative zur Erweiterung der Volksrechte bei Wasserrechtskonzessionen;#ZAHL!;#ZAHL!;Nan
177;13.05.1956;Gewährung einer Hilfe an die Holzverzuckerungs-AG Graubünden;#ZAHL!;#ZAHL!;Nan
178;30.09.1956;Revision der Brotgetreideordnung ;#ZAHL!;#ZAHL!;Nan
179;30.09.1956;Beschluss betreffend Ausgabenbeschlüsse der Bundesversammlung;#ZAHL!;#ZAHL!;Nan
180;03.03.1957;Zivilschutzartikel;#ZAHL!;#ZAHL!;Nan
181;03.03.1957;Verfassungsartikel betreffend Rundspruch und Fernsehen;#ZAHL!;#ZAHL!;Nan
182;24.11.1957;Verfassungsartikel zu Atomenergie und Strahlenschutz;#ZAHL!;#ZAHL!;Nan
183;24.11.1957;Beschluss zur Brotgetreideversorgung des Landes;#ZAHL!;#ZAHL!;Nan
184;26.01.1958;Initiative «gegen den Missbrauch wirtschaftlicher Macht»;#ZAHL!;#ZAHL!;Nan
185;11.05.1958;Neuordnung des Finanzhaushalts;#ZAHL!;#ZAHL!;Nan
186;06.07.1958;Verfassungsartikel zum Filmwesen;#ZAHL!;#ZAHL!;Nan
187;06.07.1958;Bundesbeschluss über die Verbesserung des Strassennetzes;#ZAHL!;#ZAHL!;Nan
188;26.10.1958;Initiative «zur Einführung der 44-Stunden-Woche»;#ZAHL!;#ZAHL!;Nan
189;07.12.1958;Erhöhung des Höchsteinsatzes bei Kursaalspielen;#ZAHL!;#ZAHL!;Nan
190;07.12.1958;Abkommen mit Italien zur Wasserkraft des Spöl;#ZAHL!;#ZAHL!;Nan
191;01.02.1959;Einführung des Frauenstimmrechts;#ZAHL!;#ZAHL!;Nan
192;24.05.1959;Zivilschutzartikel;#ZAHL!;#ZAHL!;Nan
193;29.05.1960;Weiterführung befristeter Preiskontrollmassnahmen;#ZAHL!;#ZAHL!;Nan
194;04.12.1960;Massnahmen für die Milchwirtschaft;#ZAHL!;#ZAHL!;Nan
195;05.03.1961;Artikel betreffend Leitungsanlagen für Treibstoffe;#ZAHL!;#ZAHL!;Nan
196;05.03.1961;Treibstoffzoll zur Finanzierung der Nationalstrassen;#ZAHL!;#ZAHL!;Nan
197;22.10.1961;Volksinitiative zur Einführung der Gesetzesinitiative;#ZAHL!;#ZAHL!;Nan
198;03.12.1961;Uhrenstatut;#ZAHL!;#ZAHL!;Nan
199;01.04.1962;Initiative «für ein Verbot der Atomwaffen»;#ZAHL!;#ZAHL!;Nan
200;27.05.1962;Natur- und Heimatschutz-Artikel;#ZAHL!;#ZAHL!;Nan
201;27.05.1962;Gesetz über die Taggelder des Nationalrates;#ZAHL!;#ZAHL!;Nan
