anr;datum;titel_kurz;ja_proz;li_re;kons_prog
558;11.03.2012;Regelung der Geldspiele zugunsten gemeinnütziger Zwecke;#ZAHL!;#ZAHL!;Nan
559;11.03.2012;Buchpreisbindung;43.9;-1;-1
560;17.06.2012;Bauspar-Initiative;31.1;1;-1
561;17.06.2012;Initiative «Staatsverträge vors Volk!»;#ZAHL!;#ZAHL!;Nan
562;17.06.2012;Managed-Care;24;2;3
563;23.09.2012;Jugendmusikförderung;72.7;-1;-2
564;23.09.2012;IV Sicheres Wohnen im Alter;47.4;1;-2
565;23.09.2012;Initiative «Schutz vor Passivrauchen»;#ZAHL!;#ZAHL!;Nan
566;25.11.2012;Tierseuchengesetz;#ZAHL!;#ZAHL!;Nan
567;03.03.2013;Familienartikel;54.3;-1;-2
568;03.03.2013;Abzocker-Initiative;68;-1;1
569;03.03.2013;Raumplanungsgesetz;62.9;-1;1
570;09.06.2013;Initiative «Volkswahl des Bundesrates»;#ZAHL!;#ZAHL!;Nan
571;09.06.2013;Dringliche Änderungen des Asylgesetzes;78.4;1;3
572;22.09.2013;Ja zur Aufhebung der Wehrpflicht;26.8;-1;1
573;22.09.2013;Epidemiengesetz;#ZAHL!;#ZAHL!;Nan
574;22.09.2013;Arbeitsgesetz;56.7;1;1
575;24.11.2013;1:12 - Für gerechte Löhne;34.7;-2;1
576;24.11.2013;«Familieninitiative»;#ZAHL!;#ZAHL!;Nan
577;24.11.2013;Änderung des Nationalstrassenabgabegesetzes (Autobahnvignette);#ZAHL!;#ZAHL!;Nan
578;09.02.2014;FABI - Finanzierung und Ausbau der Eisenbahninfrastruktur;62;-1;-3
579;09.02.2014;Initiative «Abtreibungsfinanzierung ist Privatsache»;#ZAHL!;#ZAHL!;Nan
580;09.02.2014;Initiative «Gegen Masseneinwanderung»;#ZAHL!;#ZAHL!;Nan
581;18.05.2014;Bundesbeschluss über die medizinische Grundversorgung;#ZAHL!;#ZAHL!;Nan
582;18.05.2014;Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»;#ZAHL!;#ZAHL!;Nan
583;18.05.2014;«Mindestlohn-Initiative»;#ZAHL!;#ZAHL!;Nan
584;18.05.2014;Fonds zur Beschaffung des Kampfflugzeugs Gripen;#ZAHL!;#ZAHL!;Nan
585;28.09.2014;Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»;#ZAHL!;#ZAHL!;Nan
