142,1947-05-18,Initiative «Wirtschaftsreform und Rechte der Arbeit»,NaN,NaN,Nan
143,1947-07-06,Revision der Wirtschaftsartikel,NaN,NaN,Nan
144,1947-07-06,Gesetz über die AHV,NaN,NaN,Nan
145,1948-03-14,Ordnung der Zuckerwirtschaft,NaN,NaN,Nan
146,1949-05-22,Nationalbank-Artikel,NaN,NaN,Nan
147,1949-05-22,Gesetz zur Bekämpfung der Tuberkulose,NaN,NaN,Nan
148,1949-09-11,Initiative «für die Rückkehr zur direkten Demokratie»,NaN,NaN,Nan
149,1949-12-11,Gesetz über das Dienstverhältnis der Bundesbeamten,NaN,NaN,Nan
150,1950-01-29,Massnahmen zur Förderung der Wohnbautätigkeit,NaN,NaN,Nan
151,1950-06-04,Neuordnung des Finanzhaushalts,NaN,NaN,Nan
152,1950-10-01,Initiative zur «Verhinderung der Spekulation»,NaN,NaN,Nan
153,1950-12-03,Beschluss über die Mitgliederzahl des Nationalrates,NaN,NaN,Nan
154,1950-12-03,Finanzordnung 1951 bis 1954,NaN,NaN,Nan
155,1951-02-25,Autotransportordnung,NaN,NaN,Nan
156.1,1951-04-15,Freigeld-Initiative,NaN,NaN,Nan
156.2,1951-04-15,Gegenentwurf zur «Freigeldinitiative»,NaN,NaN,Nan
157,1951-07-08,Initiative für einen Beitrag der öffentlichen Unternehmungen an die Kosten der Landesverteidigung,NaN,NaN,Nan
158,1952-03-02,Verlängerung der Bewilligungspflicht für Gasthöfe,NaN,NaN,Nan
159,1952-03-30,Landwirtschaftsgesetz,NaN,NaN,Nan
160,1952-04-20,Warenumsatzsteuer-Initiative,NaN,NaN,Nan
161,1952-05-18,Initiative «zur Rüstungsfinanzierung und zum Schutze der sozialen Errungenschaften»,NaN,NaN,Nan
162,1952-07-06,Bundesbeschluss über die Deckung der Rüstungsausgaben,NaN,NaN,Nan
163,1952-10-05,Tabakzölle und Tabakkontingentierung,NaN,NaN,Nan
164,1952-10-05,Bundesbeschluss über den Einbau von Luftschutzräumen,NaN,NaN,Nan
165,1952-11-23,Befristete Weiterführung der Preiskontrolle,NaN,NaN,Nan
166,1952-11-23,Beschluss zur Brotgetreideversorgung des Landes,NaN,NaN,Nan
167,1953-04-19,Postverkehrsgesetz,NaN,NaN,Nan
168,1953-12-06,Neuordnung des Finanzhaushalts,NaN,NaN,Nan
169,1953-12-06,Verfassungsartikel über den Schutz der Gewässer ,NaN,NaN,Nan
170,1954-06-20,Bundesbeschluss über Fähigkeitsausweise,NaN,NaN,Nan
171,1954-06-20,Hilfe an kriegsgeschädigte Auslandschweizer,NaN,NaN,Nan
172,1954-10-24,Finanzordnung 1955 bis 1958,NaN,NaN,Nan
173,1954-12-05,Initiative zum Schutz der Stromlandschaft Rheinau,NaN,NaN,Nan
174.1,1955-03-13,Mieter- und Konsumentenschutzinitiative,NaN,NaN,Nan
174.2,1955-03-13,Gegenentwurf zur Mieter- und Konsumentenschutzinitiative,NaN,NaN,Nan
175,1956-03-04,Befristete Weiterführung einer beschränkten Preiskontrolle,NaN,NaN,Nan
176,1956-05-13,Initiative zur Erweiterung der Volksrechte bei Wasserrechtskonzessionen,NaN,NaN,Nan
177,1956-05-13,Gewährung einer Hilfe an die Holzverzuckerungs-AG Graubünden,NaN,NaN,Nan
178,1956-09-30,Revision der Brotgetreideordnung ,NaN,NaN,Nan
179,1956-09-30,Beschluss betreffend Ausgabenbeschlüsse der Bundesversammlung,NaN,NaN,Nan
180,1957-03-03,Zivilschutzartikel,NaN,NaN,Nan
181,1957-03-03,Verfassungsartikel betreffend Rundspruch und Fernsehen,NaN,NaN,Nan
182,1957-11-24,Verfassungsartikel zu Atomenergie und Strahlenschutz,NaN,NaN,Nan
183,1957-11-24,Beschluss zur Brotgetreideversorgung des Landes,NaN,NaN,Nan
184,1958-01-26,Initiative «gegen den Missbrauch wirtschaftlicher Macht»,NaN,NaN,Nan
185,1958-05-11,Neuordnung des Finanzhaushalts,NaN,NaN,Nan
186,1958-07-06,Verfassungsartikel zum Filmwesen,NaN,NaN,Nan
187,1958-07-06,Bundesbeschluss über die Verbesserung des Strassennetzes,NaN,NaN,Nan
