"Votations populaires (résultats au niveau des cantons depuis 1866)"

"Canton";"Date et objet";"Bulletins valables";"Oui en %"
"Glarus";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";12033.00;35.15
"Glarus";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";12136.00;53.45
"Zug";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";56280.00;63.64
"Zug";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";53915.00;30.11
"Zug";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";55621.00;54.82
"Zug";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";47207.00;66.11
"Zug";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";46746.00;23.22
"Zug";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";51935.00;58.94
"Zug";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";52369.00;47.71
"Zug";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";52147.00;57.75
"Zug";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";52325.00;36.77
"Zug";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";52412.00;38.67
"Zug";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";45504.00;61.85
"Zug";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";46087.00;40.97
"Zug";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";46428.00;50.43
"Fribourg / Freiburg";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";131268.00;61.64
"Fribourg / Freiburg";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";125358.00;36.11
"Fribourg / Freiburg";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";129937.00;64.73
"Fribourg / Freiburg";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";106107.00;62.31
"Fribourg / Freiburg";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";104104.00;39.18
"Fribourg / Freiburg";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";126297.00;63.58
"Fribourg / Freiburg";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";128002.00;44.41
"Fribourg / Freiburg";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";126713.00;59.91
"Fribourg / Freiburg";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";129169.00;32.94
